cell_line,concentration,condition,normalized_viability
797,0,"-CD3/CD28, -PDL1",1.060644592
797,10000,"-CD3/CD28, -PDL1",1.176630553
797,50000,"-CD3/CD28, -PDL1",1.027651288
797,250000,"-CD3/CD28, -PDL1",0.841603537
797,0,"-CD3/CD28, -PDL1",0.951907754
797,10000,"-CD3/CD28, -PDL1",0.972009374
797,50000,"-CD3/CD28, -PDL1",1.048536598
797,250000,"-CD3/CD28, -PDL1",0.967581532
797,0,"-CD3/CD28, -PDL1",0.987448046
797,10000,"-CD3/CD28, -PDL1",0.916485014
797,50000,"-CD3/CD28, -PDL1",0.890035513
797,250000,"-CD3/CD28, -PDL1",0.859510829
797,0,"+CD3/CD28, -PDL1",0.957902974
797,10000,"+CD3/CD28, -PDL1",0.836587928
797,50000,"+CD3/CD28, -PDL1",0.607594024
797,250000,"+CD3/CD28, -PDL1",0.043220444
797,0,"+CD3/CD28, -PDL1",0.870168999
797,10000,"+CD3/CD28, -PDL1",0.855278909
797,50000,"+CD3/CD28, -PDL1",0.643447792
797,250000,"+CD3/CD28, -PDL1",0.077585204
797,0,"+CD3/CD28, -PDL1",0.864017041
797,10000,"+CD3/CD28, -PDL1",0.90049776
797,50000,"+CD3/CD28, -PDL1",0.505518541
797,250000,"+CD3/CD28, -PDL1",0.086597626
797,0,"-CD3/CD28, +PDL1",1.003709592
797,10000,"-CD3/CD28, +PDL1",0.924596194
797,50000,"-CD3/CD28, +PDL1",0.842779071
797,250000,"-CD3/CD28, +PDL1",0.763313014
797,0,"-CD3/CD28, +PDL1",0.875694006
797,10000,"-CD3/CD28, +PDL1",0.876164219
797,50000,"-CD3/CD28, +PDL1",0.915427034
797,250000,"-CD3/CD28, +PDL1",0.822716634
797,0,"-CD3/CD28, +PDL1",0.990582802
797,10000,"-CD3/CD28, +PDL1",0.885098273
797,50000,"-CD3/CD28, +PDL1",0.784590168
797,250000,"-CD3/CD28, +PDL1",0.679105639
797,0,"+CD3/CD28, +PDL1",0.914525792
797,10000,"+CD3/CD28, +PDL1",0.909353445
797,50000,"+CD3/CD28, +PDL1",0.71507696
797,250000,"+CD3/CD28, +PDL1",0.029035675
797,0,"+CD3/CD28, +PDL1",0.883530895
797,10000,"+CD3/CD28, +PDL1",0.885764408
797,50000,"+CD3/CD28, +PDL1",0.837449986
797,250000,"+CD3/CD28, +PDL1",0.052938187
797,0,"+CD3/CD28, +PDL1",0.938075644
797,10000,"+CD3/CD28, +PDL1",0.863977856
797,50000,"+CD3/CD28, +PDL1",0.533026023
797,250000,"+CD3/CD28, +PDL1",0.088008266
