cell_line,concentration,condition,normalized_viability
A549,0,"-CD3/CD28, -PDL1",1.004183296
A549,10000,"-CD3/CD28, -PDL1",1.236677244
A549,50000,"-CD3/CD28, -PDL1",1.183345328
A549,250000,"-CD3/CD28, -PDL1",1.101998004
A549,0,"-CD3/CD28, -PDL1",0.96447674
A549,10000,"-CD3/CD28, -PDL1",1.255990742
A549,50000,"-CD3/CD28, -PDL1",1.24573083
A549,250000,"-CD3/CD28, -PDL1",1.162571971
A549,0,"-CD3/CD28, -PDL1",1.031339963
A549,10000,"-CD3/CD28, -PDL1",1.234661247
A549,50000,"-CD3/CD28, -PDL1",1.212170407
A549,250000,"-CD3/CD28, -PDL1",1.058304436
A549,0,"+CD3/CD28, -PDL1",1.049582079
A549,10000,"+CD3/CD28, -PDL1",1.2471866
A549,50000,"+CD3/CD28, -PDL1",0.706850301
A549,250000,"+CD3/CD28, -PDL1",0.473211365
A549,0,"+CD3/CD28, -PDL1",1.194832014
A549,10000,"+CD3/CD28, -PDL1",1.254988877
A549,50000,"+CD3/CD28, -PDL1",0.744982498
A549,250000,"+CD3/CD28, -PDL1",0.4691303
A549,0,"+CD3/CD28, -PDL1",1.19912163
A549,10000,"+CD3/CD28, -PDL1",1.249865055
A549,50000,"+CD3/CD28, -PDL1",0.780489401
A549,250000,"+CD3/CD28, -PDL1",0.438600007
A549,0,"-CD3/CD28, +PDL1",1.140915336
A549,10000,"-CD3/CD28, +PDL1",1.380009323
A549,50000,"-CD3/CD28, +PDL1",1.494070597
A549,250000,"-CD3/CD28, +PDL1",1.327217188
A549,0,"-CD3/CD28, +PDL1",1.375944615
A549,10000,"-CD3/CD28, +PDL1",1.368211856
A549,50000,"-CD3/CD28, +PDL1",1.425616658
A549,250000,"-CD3/CD28, +PDL1",1.232714767
A549,0,"-CD3/CD28, +PDL1",1.075503795
A549,10000,"-CD3/CD28, +PDL1",1.449407878
A549,50000,"-CD3/CD28, +PDL1",1.365087673
A549,250000,"-CD3/CD28, +PDL1",1.128426786
A549,0,"+CD3/CD28, +PDL1",1.158674921
A549,10000,"+CD3/CD28, +PDL1",1.228453775
A549,50000,"+CD3/CD28, +PDL1",0.779385305
A549,250000,"+CD3/CD28, +PDL1",0.522809801
A549,0,"+CD3/CD28, +PDL1",1.323716795
A549,10000,"+CD3/CD28, +PDL1",1.257103016
A549,50000,"+CD3/CD28, +PDL1",0.760468464
A549,250000,"+CD3/CD28, +PDL1",0.481696545
A549,0,"+CD3/CD28, +PDL1",1.309825635
A549,10000,"+CD3/CD28, +PDL1",1.383685554
A549,50000,"+CD3/CD28, +PDL1",0.863370191
A549,250000,"+CD3/CD28, +PDL1",0.580386352
