cell_line,culture_condition,bispecific_condition,relative_luminescence
10-15,0:1 E:T,None,445952.3333
10-15,0:1 E:T,None,538971.3333
10-15,0:1 E:T,None,450284.3333
10-15,0:1 E:T,PRAME,536629.3333
10-15,0:1 E:T,PRAME,549933.3333
10-15,0:1 E:T,PRAME,500339.3333
10-15,1:1 E:T,None,515644.3333
10-15,1:1 E:T,None,527448.3333
10-15,1:1 E:T,None,515220.3333
10-15,1:1 E:T,PRAME,422635.3333
10-15,1:1 E:T,PRAME,459800.3333
10-15,1:1 E:T,PRAME,433773.3333
10-15,1:1 E:T,NON-SPECIFIC,522074.3333
10-15,1:1 E:T,NON-SPECIFIC,535786.3333
10-15,1:1 E:T,NON-SPECIFIC,528596.3333
10-15,5:1 E:T,None,426212.3333
10-15,5:1 E:T,None,449043.3333
10-15,5:1 E:T,None,433944.3333
10-15,5:1 E:T,PRAME,133642.3333
10-15,5:1 E:T,PRAME,204124.3333
10-15,5:1 E:T,PRAME,160529.3333
10-15,5:1 E:T,NON-SPECIFIC,366263.3333
10-15,5:1 E:T,NON-SPECIFIC,408066.3333
10-15,5:1 E:T,NON-SPECIFIC,423481.3333
14169,0:1 E:T,None,572430.3333
14169,0:1 E:T,None,541062.3333
14169,0:1 E:T,None,593086.3333
14169,0:1 E:T,PRAME,603458.3333
14169,0:1 E:T,PRAME,575738.3333
14169,0:1 E:T,PRAME,427996.3333
14169,1:1 E:T,None,597204.3333
14169,1:1 E:T,None,587421.3333
14169,1:1 E:T,None,646888.3333
14169,1:1 E:T,PRAME,341179.3333
14169,1:1 E:T,PRAME,343784.3333
14169,1:1 E:T,PRAME,393807.3333
14169,1:1 E:T,NON-SPECIFIC,579738.3333
14169,1:1 E:T,NON-SPECIFIC,594987.3333
14169,1:1 E:T,NON-SPECIFIC,585221.3333
14169,5:1 E:T,None,372870.3333
14169,5:1 E:T,None,416537.3333
14169,5:1 E:T,None,439057.3333
14169,5:1 E:T,PRAME,128716.3333
14169,5:1 E:T,PRAME,186075.3333
14169,5:1 E:T,PRAME,104110.3333
14169,5:1 E:T,NON-SPECIFIC,378399.3333
14169,5:1 E:T,NON-SPECIFIC,383458.3333
